2026-09-05 06:41:10 GPU_PRIORITY_V4 start pid=104554 dry_run=0 poll_seconds=5 grace_ticks=3
2026-09-05 06:49:21 GPU_PRIORITY_V4 fill primary=5 snapshot=3 total=8 free=0 high_wait=0 needed=0 wait_ticks=0 victims=none changed=0 gpu[0:0%/4MiB;1:11%/15247MiB;2:100%/94597MiB;3:100%/89225MiB;4:87%/89225MiB;5:69%/29249MiB;6:18%/83037MiB;7:68%/22479MiB;]
2026-09-05 06:49:52 GPU_PRIORITY_V4 drain primary=5 snapshot=3 total=8 free=0 high_wait=1 needed=1 wait_ticks=1 victims=none changed=62 gpu[0:57%/82845MiB;1:9%/83519MiB;2:100%/94597MiB;3:100%/89225MiB;4:0%/4MiB;5:68%/29249MiB;6:90%/89243MiB;7:73%/22479MiB;]
2026-09-05 06:50:03 GPU_PRIORITY_V4 drain primary=5 snapshot=3 total=8 free=0 high_wait=2 needed=2 wait_ticks=2 victims=none changed=0 gpu[0:15%/83471MiB;1:100%/89243MiB;2:100%/94597MiB;3:100%/89225MiB;4:0%/0MiB;5:98%/29249MiB;6:91%/89243MiB;7:90%/22479MiB;]
2026-09-05 06:50:13 GPU_PRIORITY_V4 drain primary=6 snapshot=2 total=8 free=0 high_wait=1 needed=1 wait_ticks=3 victims=gpu3:pg4171195:000000001023s changed=1 gpu[0:100%/89225MiB;1:0%/4MiB;2:99%/94597MiB;3:100%/89225MiB;4:0%/327MiB;5:96%/29249MiB;6:85%/89243MiB;7:83%/22479MiB;]
2026-09-05 06:50:24 GPU_PRIORITY_V4 fill primary=6 snapshot=1 total=7 free=1 high_wait=0 needed=0 wait_ticks=0 victims=none changed=0 gpu[0:100%/89225MiB;1:0%/15251MiB;2:100%/94597MiB;3:0%/327MiB;4:0%/4MiB;5:70%/29249MiB;6:89%/89243MiB;7:90%/22479MiB;]
2026-09-05 06:50:35 GPU_PRIORITY_V4 drain primary=6 snapshot=2 total=8 free=0 high_wait=1 needed=1 wait_ticks=1 victims=none changed=63 gpu[0:94%/89225MiB;1:0%/23035MiB;2:99%/94597MiB;3:100%/24659MiB;4:0%/4MiB;5:98%/29249MiB;6:85%/89243MiB;7:56%/22479MiB;]
2026-09-05 06:50:46 GPU_PRIORITY_V4 drain primary=6 snapshot=2 total=8 free=0 high_wait=1 needed=1 wait_ticks=2 victims=none changed=0 gpu[0:100%/89225MiB;1:49%/83561MiB;2:99%/94597MiB;3:4%/68229MiB;4:0%/15347MiB;5:69%/29249MiB;6:91%/89243MiB;7:65%/22479MiB;]
2026-09-05 06:50:57 GPU_PRIORITY_V4 drain primary=6 snapshot=2 total=8 free=0 high_wait=1 needed=1 wait_ticks=3 victims=gpu4:pg22361:000000000874s changed=1 gpu[0:100%/89225MiB;1:89%/89243MiB;2:100%/94597MiB;3:39%/68237MiB;4:58%/82695MiB;5:88%/29249MiB;6:0%/4MiB;7:0%/22479MiB;]
2026-09-05 06:51:07 GPU_PRIORITY_V4 fill primary=7 snapshot=1 total=8 free=0 high_wait=0 needed=0 wait_ticks=0 victims=none changed=0 gpu[0:100%/89225MiB;1:87%/89243MiB;2:98%/94597MiB;3:99%/68237MiB;4:0%/4MiB;5:70%/29249MiB;6:0%/15251MiB;7:0%/327MiB;]
2026-09-05 06:51:18 GPU_PRIORITY_V4 fill primary=6 snapshot=2 total=8 free=0 high_wait=0 needed=0 wait_ticks=0 victims=none changed=0 gpu[0:100%/89225MiB;1:0%/4MiB;2:98%/94597MiB;3:83%/68237MiB;4:0%/0MiB;5:99%/29249MiB;6:0%/15253MiB;7:0%/4MiB;]
2026-09-05 06:51:29 GPU_PRIORITY_V4 fill primary=5 snapshot=3 total=8 free=0 high_wait=0 needed=0 wait_ticks=0 victims=none changed=0 gpu[0:100%/89225MiB;1:0%/15251MiB;2:99%/94597MiB;3:99%/68243MiB;4:0%/4MiB;5:98%/29249MiB;6:29%/83027MiB;7:0%/15555MiB;]
2026-09-05 06:51:40 GPU_PRIORITY_V4 drain primary=5 snapshot=3 total=8 free=0 high_wait=1 needed=1 wait_ticks=1 victims=none changed=62 gpu[0:87%/89225MiB;1:100%/18281MiB;2:99%/94597MiB;3:0%/4MiB;4:0%/15555MiB;5:81%/29249MiB;6:0%/89243MiB;7:0%/15735MiB;]
2026-09-05 06:51:50 GPU_PRIORITY_V4 drain primary=4 snapshot=4 total=8 free=0 high_wait=1 needed=1 wait_ticks=2 victims=none changed=0 gpu[0:100%/89225MiB;1:11%/83083MiB;2:99%/94597MiB;3:0%/4MiB;4:100%/23349MiB;5:75%/29249MiB;6:88%/89243MiB;7:43%/83409MiB;]
2026-09-05 06:52:01 GPU_PRIORITY_V4 drain primary=4 snapshot=4 total=8 free=0 high_wait=1 needed=1 wait_ticks=3 victims=gpu7:pg215780:000000000266s changed=1 gpu[0:100%/89225MiB;1:0%/89243MiB;2:99%/94597MiB;3:0%/4MiB;4:59%/83789MiB;5:30%/29249MiB;6:87%/89243MiB;7:43%/89267MiB;]
2026-09-05 06:52:11 GPU_PRIORITY_V4 fill primary=4 snapshot=3 total=7 free=1 high_wait=0 needed=0 wait_ticks=0 victims=none changed=0 gpu[0:92%/89225MiB;1:89%/89243MiB;2:99%/94597MiB;3:0%/4MiB;4:87%/89267MiB;5:0%/4MiB;6:0%/4MiB;7:0%/4MiB;]
2026-09-05 06:52:22 GPU_PRIORITY_V4 fill primary=4 snapshot=4 total=8 free=0 high_wait=0 needed=0 wait_ticks=0 victims=none changed=0 gpu[0:100%/89225MiB;1:89%/89243MiB;2:99%/94597MiB;3:0%/4MiB;4:0%/12MiB;5:0%/4MiB;6:0%/4MiB;7:11%/15247MiB;]
2026-09-05 06:52:32 GPU_PRIORITY_V4 fill primary=3 snapshot=5 total=8 free=0 high_wait=0 needed=0 wait_ticks=0 victims=none changed=0 gpu[0:100%/89225MiB;1:89%/89243MiB;2:99%/94597MiB;3:0%/15555MiB;4:0%/15555MiB;5:0%/15555MiB;6:0%/4MiB;7:0%/15347MiB;]
2026-09-05 06:53:03 GPU_PRIORITY_V4 drain primary=3 snapshot=5 total=8 free=0 high_wait=1 needed=1 wait_ticks=1 victims=none changed=60 gpu[0:100%/89225MiB;1:87%/89243MiB;2:99%/94597MiB;3:0%/89267MiB;4:0%/4MiB;5:0%/4MiB;6:60%/83351MiB;7:88%/89225MiB;]
2026-09-05 06:53:13 GPU_PRIORITY_V4 drain primary=3 snapshot=5 total=8 free=0 high_wait=1 needed=1 wait_ticks=2 victims=none changed=0 gpu[0:100%/89225MiB;1:89%/89243MiB;2:99%/94597MiB;3:0%/4MiB;4:14%/15247MiB;5:1%/15247MiB;6:100%/4MiB;7:0%/4MiB;]
2026-09-05 06:53:24 GPU_PRIORITY_V4 drain primary=3 snapshot=5 total=8 free=0 high_wait=3 needed=3 wait_ticks=3 victims=gpu6:pg237115:000000000279s,gpu4:pg145195:000000000583s,gpu5:pg22102:000000001023s changed=3 gpu[0:100%/89225MiB;1:100%/89243MiB;2:100%/94597MiB;3:0%/15555MiB;4:0%/15557MiB;5:0%/15555MiB;6:1%/327MiB;7:0%/15345MiB;]
